"greatsexguidance.com"	"26"	"125"	"165"	"5"	"924"	"924"	"2021-10-21 20:42:28"
"allaboutaddiction.com"	"24"	"129"	"368"	"389"	"714"	"714"	"2021-10-22 19:07:05"
"suzannedegges123.com"	"12"	"52"	"0"	"3"	"702"	"702"	"2022-02-17 21:45:33"
"typepad.com"	"36"	"617"	"1711"	"23"	"644"	"644"	"2021-10-21 22:29:18"
